county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
Taiwan,47,43,22,31,42,60,61,99,87,77,69,65,57,53,75,65,83,90,76,71,43,48,49,44,1457
Taipei City,0,3,2,2,2,6,4,3,4,6,1,5,3,3,3,2,2,5,4,1,0,4,5,3,73
New Taipei City,4,5,1,3,2,4,6,8,9,8,10,2,4,5,5,1,10,6,5,4,5,5,3,8,123
Keelung City,1,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,3,1,1,1,3,0,1,0,17
Taoyuan City,6,6,2,6,4,8,7,7,4,6,6,8,5,4,5,6,5,8,5,5,4,6,4,5,132
Hsinchu City,0,2,1,1,0,0,0,0,0,3,0,1,2,1,2,3,0,2,2,1,0,1,0,1,23
Hsinchu County,1,3,0,3,0,2,2,4,3,2,4,2,2,3,4,4,2,1,7,1,2,2,1,0,55
Miaoli County,0,0,1,0,3,0,3,4,2,2,1,2,1,1,2,2,1,6,4,1,0,3,3,2,44
Taichung City,4,4,1,4,4,3,7,4,8,3,6,5,1,1,6,3,12,5,2,5,3,5,3,3,102
Changhua County,4,2,3,1,4,6,1,9,7,5,3,3,5,3,4,5,5,8,3,14,4,4,4,4,111
Nantou County,4,1,1,1,2,2,1,3,3,1,5,0,5,2,4,1,3,5,2,0,2,3,4,2,57
Yunlin County,3,0,3,0,1,2,3,7,3,4,3,4,4,3,3,4,7,5,3,9,0,3,4,4,82
Chiayi City,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,10
Chiayi County,3,3,0,2,1,2,1,11,7,8,5,4,7,5,6,2,5,4,5,3,0,1,1,0,86
Tainan City,4,5,2,3,5,4,9,7,10,10,7,7,4,8,11,10,5,12,10,6,6,1,5,6,157
Kaohsiung City,4,4,1,3,5,7,8,9,13,5,7,10,7,5,4,9,8,8,6,5,4,4,3,1,140
Pingtung County,4,2,2,1,2,4,6,6,7,3,4,4,3,4,6,7,9,7,7,7,3,4,2,2,106
Yilan County,3,2,0,1,5,5,0,6,2,1,2,4,3,4,1,0,0,1,1,2,0,0,2,1,46
Hualien County,0,0,0,0,0,0,2,4,3,3,0,1,0,1,6,3,3,2,5,3,2,1,1,1,41
Taitung County,0,0,1,0,1,3,1,2,2,5,4,1,0,0,0,2,2,2,3,1,5,1,1,1,38
Penghu County,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,6
Kinmen County,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,8
Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
