table,county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
103A1,Taiwan,62,31,41,39,62,78,82,97,84,97,69,72,81,56,74,95,89,103,101,95,76,67,60,59,1770
103A1,Taipei City,9,0,2,3,2,7,3,3,5,6,3,2,5,0,3,4,4,3,4,3,3,6,1,3,84
103A1,New Taipei City,6,5,3,7,2,6,6,6,2,7,7,8,6,3,7,9,9,6,8,4,5,5,3,5,135
103A1,Keelung City,0,0,1,0,1,2,1,2,2,1,1,0,0,0,1,0,0,2,2,0,2,0,1,1,20
103A1,Taoyuan City,6,1,2,4,4,8,8,3,9,4,4,8,3,2,5,10,6,7,7,5,5,5,8,5,129
103A1,Hsinchu City,0,2,2,1,1,2,4,2,1,1,4,1,4,0,0,1,1,1,2,4,0,1,2,2,39
103A1,Hsinchu County,2,1,1,1,3,3,3,0,2,4,3,1,3,2,3,5,5,4,2,3,3,2,3,2,61
103A1,Miaoli County,1,1,0,2,3,0,1,2,3,5,2,4,2,5,3,5,1,6,6,6,4,2,1,1,66
103A1,Taichung City,5,1,5,3,5,3,5,4,7,4,8,7,2,8,6,4,11,9,11,6,6,4,4,6,134
103A1,Changhua County,4,5,0,3,8,4,9,11,10,5,5,2,5,1,7,11,9,9,11,7,10,5,4,9,154
103A1,Nantou County,2,3,1,1,1,5,2,2,3,4,2,4,0,3,2,4,3,7,4,6,6,2,1,2,70
103A1,Yunlin County,1,1,3,0,5,2,7,3,8,6,1,4,8,2,4,4,5,6,8,6,2,5,6,2,99
103A1,Chiayi City,0,0,1,1,1,1,2,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13
103A1,Chiayi County,3,0,2,1,3,3,1,6,3,5,4,2,2,4,5,2,2,6,4,2,4,2,6,2,74
103A1,Tainan City,8,3,3,3,6,6,11,17,5,10,11,4,12,8,6,17,7,15,11,6,3,7,4,2,185
103A1,Kaohsiung City,9,4,8,6,6,16,7,14,8,16,7,8,16,8,7,5,7,13,6,17,10,9,9,12,228
103A1,Pingtung County,3,1,4,1,6,8,3,9,4,5,4,6,5,1,8,6,8,3,7,12,6,5,4,0,119
103A1,Yilan County,1,0,0,1,0,0,2,7,5,6,1,2,4,4,2,0,3,1,2,0,3,4,1,1,50
103A1,Hualien County,2,2,0,1,3,1,3,4,4,3,2,4,1,3,2,6,5,2,3,4,0,2,0,3,60
103A1,Taitung County,0,0,1,0,2,1,4,1,2,2,0,5,3,1,3,2,3,3,2,3,3,1,2,1,45
103A1,Penghu County,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
103A1,Kinmen County,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
103A1,Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103A2,Taiwan,3739,2265,1555,1192,1331,2483,6250,24794,22761,18052,16666,17075,17484,14528,15257,16742,19246,25717,21374,15743,12429,12248,10511,6632,306074
103A2,Taipei City,360,214,143,96,102,187,378,1064,1730,1365,1105,1028,1110,1027,1059,1122,1145,1429,1384,1028,869,969,1016,617,20547
103A2,New Taipei City,525,337,225,139,159,252,657,2168,2672,1983,1703,1678,1727,1552,1550,1645,1819,2382,2234,1716,1391,1494,1472,990,32470
103A2,Keelung City,57,32,25,14,23,27,73,200,186,155,182,161,162,144,171,157,161,205,208,196,134,152,137,88,3050
103A2,Taoyuan City,370,215,176,127,131,276,814,2809,2361,1641,1528,1487,1588,1277,1442,1520,1769,2409,1959,1611,1296,1196,990,692,29684
103A2,Hsinchu City,74,40,28,29,30,45,110,515,612,452,351,381,373,313,336,352,408,524,534,397,328,314,247,150,6943
103A2,Hsinchu County,69,50,26,18,18,42,177,677,632,429,350,370,360,285,335,373,458,563,519,402,292,269,196,125,7035
103A2,Miaoli County,43,28,18,15,17,42,140,535,382,308,273,282,281,222,232,274,358,444,384,304,230,207,134,80,5233
103A2,Taichung City,654,356,225,200,205,361,996,4751,4339,3236,3021,3127,3307,2676,2886,3025,3579,5164,4274,2839,2390,2385,1992,1161,57149
103A2,Changhua County,149,113,74,50,64,167,386,1726,1219,1108,1046,1062,1160,841,915,1035,1245,1736,1263,879,695,670,469,281,18353
103A2,Nantou County,71,30,23,24,15,41,105,472,353,346,325,409,321,318,313,377,419,509,372,283,200,170,153,78,5727
103A2,Yunlin County,79,35,29,31,32,94,185,761,549,522,459,508,480,390,434,479,540,734,547,410,295,242,163,116,8114
103A2,Chiayi City,38,29,17,18,14,22,53,182,177,159,142,146,196,153,177,178,188,249,206,156,127,154,133,63,2977
103A2,Chiayi County,56,36,16,12,30,75,143,477,370,366,371,325,308,295,284,334,384,495,377,278,216,159,125,88,5620
103A2,Tainan City,244,150,125,95,109,210,475,2178,1743,1324,1340,1355,1323,1036,1104,1325,1442,2039,1652,1201,923,885,705,442,23425
103A2,Kaohsiung City,688,417,260,212,237,397,1005,4255,3706,2963,2822,2937,3104,2541,2609,2960,3523,4518,3539,2731,2044,2080,1896,1245,52689
103A2,Pingtung County,109,99,71,64,77,117,255,849,759,757,768,824,734,564,575,684,840,1041,907,611,441,428,337,196,12107
103A2,Yilan County,61,35,25,21,17,39,129,515,414,382,340,369,345,327,318,339,373,486,393,269,223,191,119,91,5821
103A2,Hualien County,53,28,14,10,29,38,91,366,300,288,292,341,320,303,287,277,281,417,296,217,187,160,119,78,4792
103A2,Taitung County,26,12,23,9,15,38,54,185,148,185,175,177,177,160,148,194,198,252,206,136,94,81,70,34,2797
103A2,Penghu County,6,9,5,6,5,8,16,60,58,48,46,53,58,50,47,49,70,64,72,45,33,24,17,12,861
103A2,Kinmen County,7,0,7,2,2,4,8,46,49,34,27,53,48,53,34,43,44,57,48,34,20,17,21,4,662
103A2,Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104A1,Taiwan,44,42,38,36,42,84,80,87,87,85,78,96,59,64,59,95,70,96,107,90,51,53,56,40,1639
104A1,Taipei City,4,1,1,1,1,6,3,4,5,7,5,6,2,5,5,6,1,6,3,2,2,3,6,2,87
104A1,New Taipei City,1,4,5,4,4,3,7,6,8,10,0,5,3,3,4,8,9,9,6,4,3,4,6,4,120
104A1,Keelung City,0,0,0,1,1,1,2,2,0,1,1,2,2,1,0,0,0,1,3,1,0,1,0,2,22
104A1,Taoyuan City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104A1,Hsinchu City,1,1,1,2,0,1,1,1,4,2,2,0,0,2,0,1,1,1,2,3,2,1,1,0,30
104A1,Hsinchu County,0,1,1,1,2,4,3,3,3,6,2,3,5,3,3,2,2,3,7,5,4,3,1,5,72
104A1,Miaoli County,0,3,1,1,2,5,1,3,2,2,3,2,1,2,4,3,3,3,4,2,3,0,0,4,54
104A1,Taichung City,3,0,3,2,4,6,9,12,6,4,5,5,2,3,7,9,6,10,8,4,7,2,7,3,127
104A1,Changhua County,7,4,2,5,7,6,6,3,6,3,10,6,9,4,3,9,6,7,12,8,6,4,4,3,140
104A1,Nantou County,3,1,1,1,0,3,3,2,3,3,3,5,1,3,2,5,2,3,2,1,2,3,3,1,56
104A1,Yunlin County,2,2,3,1,1,4,3,7,7,5,2,9,6,4,4,5,4,9,8,4,4,3,5,4,106
104A1,Chiayi City,0,2,0,1,0,1,0,0,3,0,1,1,0,0,0,1,2,0,1,1,1,0,0,0,15
104A1,Chiayi County,1,0,1,1,0,4,3,8,4,3,3,4,2,4,1,3,5,4,9,9,2,2,2,1,76
104A1,Tainan City,6,7,2,2,4,7,8,8,11,11,9,9,8,7,7,9,5,11,9,16,5,7,4,3,175
